MDL16CS051   CY100(C), BE100(F), EC100(B), CY110(O), EC110(B+), MA102(C), BE102(B+), CS100(F),
MDL16CS052   CY100(B+), BE100(B), EC100(B+), CY110(O), EC110(A+), MA102(A+), BE102(O), CS100(O),
MDL16CS053   CY100(B), BE100(C), EC100(C), CY110(O), EC110(A), MA102(B+), BE102(B), CS100(A),
MDL16CS054   CY100(B), BE100(B), EC100(B+), CY110(A+), EC110(B+), MA102(C), BE102(A+), CS100(B+),
MDL16CS055   CY100(A), BE100(B+), EC100(A+), CY110(O), EC110(A), MA102(O), BE102(A+), CS100(O),
MDL16CS056   CY100(O), BE100(A+), EC100(A+), CY110(O), EC110(O), MA102(O), BE102(A+), CS100(O),
MDL16CS057   CY100(B), BE100(B), EC100(B), CY110(O), EC110(B+), MA102(B), BE102(A), CS100(B+),
MDL16CS058   CY100(B+), BE100(B), EC100(B+), CY110(A+), EC110(B+), MA102(B+), BE102(A+), CS100(B),
MDL16CS059   CY100(B+), BE100(A), EC100(A), CY110(O), EC110(A+), MA102(A+), BE102(O), CS100(A+),
MDL16CS060   CY100(B+), BE100(B), EC100(B+), CY110(A+), EC110(B+), MA102(A), BE102(B+), CS100(A),
MDL16CS061   CY100(B), BE100(F), EC100(C), CY110(A), EC110(B+), MA102(F), BE102(B), CS100(F),
MDL16CS062   CY100(B+), BE100(B+), EC100(A), CY110(O), EC110(A+), MA102(A), BE102(B+), CS100(O),
MDL16CS063   CY100(B+), BE100(B+), EC100(C), CY110(A+), EC110(A+), MA102(A), BE102(B+), CS100(B+),
MDL16CS064   CY100(B+), BE100(C), EC100(B+), CY110(O), EC110(B+), MA102(B+), BE102(A), CS100(O),
MDL16CS065   CY100(B+), BE100(B+), EC100(B+), CY110(O), EC110(A), MA102(A), BE102(B+), CS100(A),
MDL16CS066   CY100(B), BE100(B), EC100(B), CY110(O), EC110(A+), MA102(A), BE102(B+), CS100(A+),
MDL16CS067   CY100(B+), BE100(C), EC100(B), CY110(O), EC110(A), MA102(A), BE102(A), CS100(B+),
MDL16CS068   CY100(B), BE100(B), EC100(C), CY110(O), EC110(A), MA102(A+), BE102(B), CS100(A),
MDL16CS069   CY100(B+), BE100(A), EC100(B), CY110(O), EC110(A), MA102(O), BE102(A), CS100(B+),
MDL16CS070   CY100(B+), BE100(C), EC100(C), CY110(O), EC110(B+), MA102(A+), BE102(A), CS100(A+),
MDL16CS071   CY100(A), BE100(A), EC100(A), CY110(O), EC110(O), MA102(O), BE102(A), CS100(A+),
MDL16CS072   CY100(A), BE100(B), EC100(B), CY110(O), EC110(O), MA102(A), BE102(B+), CS100(B),
MDL16CS073   CY100(A), BE100(B+), EC100(A+), CY110(O), EC110(A+), MA102(O), BE102(A), CS100(O),
MDL16CS074   CY100(A), BE100(A), EC100(A+), CY110(O), EC110(A+), MA102(O), BE102(B+), CS100(O),
MDL16CS075   CY100(B), BE100(B), EC100(B), CY110(O), EC110(B+), MA102(C), BE102(A), CS100(B+),
MDL16CS076   CY100(B), BE100(F), EC100(B), CY110(O), EC110(O), MA102(F), BE102(A+), CS100(B+),
MDL16CS077   CY100(B+), BE100(B), EC100(B), CY110(A), EC110(A), MA102(B+), BE102(B+), CS100(B+),
MDL16CS078   CY100(A), BE100(B+), EC100(B+), CY110(O), EC110(A+), MA102(A+), BE102(B+), CS100(O),
MDL16CS079   CY100(B+), BE100(A), EC100(B+), CY110(O), EC110(A+), MA102(O), BE102(A), CS100(O),
MDL16CS080   CY100(C), BE100(C), EC100(C), CY110(O), EC110(B+), MA102(C), BE102(B+), CS100(C),
MDL16CS081   CY100(B+), BE100(C), EC100(B+), CY110(O), EC110(O), MA102(B+), BE102(B+), CS100(O),
MDL16CS082   CY100(B), BE100(C), EC100(B), CY110(O), EC110(A+), MA102(A+), BE102(A+), CS100(A),
MDL16CS083   CY100(B), BE100(B), EC100(C), CY110(A+), EC110(A+), MA102(C), BE102(A), CS100(A+),
MDL16CS084   CY100(B+), BE100(B), EC100(B), CY110(O), EC110(O), MA102(B+), BE102(A+), CS100(A),
MDL16CS085   CY100(B), BE100(F), EC100(F), CY110(O), EC110(A+), MA102(C), BE102(A), CS100(A),
MDL16CS086   CY100(B+), BE100(B), EC100(B+), CY110(A+), EC110(A+), MA102(O), BE102(A+), CS100(A),
MDL16CS087   CY100(A+), BE100(A), EC100(B+), CY110(O), EC110(O), MA102(O), BE102(A), CS100(O),
MDL16CS088   CY100(B+), BE100(B), EC100(B+), CY110(O), EC110(A+), MA102(O), BE102(B+), CS100(O),
MDL16CS089   CY100(A+), BE100(B), EC100(A), CY110(O), EC110(O), MA102(A+), BE102(A+), CS100(O),
MDL16CS090   CY100(B), BE100(F), EC100(C), CY110(O), EC110(A), MA102(A+), BE102(A), CS100(A),
MDL16CS091   CY100(B+), BE100(B), EC100(B+), CY110(O), EC110(A), MA102(O), BE102(A), CS100(A),
MDL16CS092   CY100(A+), BE100(B), EC100(B), CY110(O), EC110(O), MA102(B+), BE102(B+), CS100(A),
MDL16CS093   CY100(O), BE100(B), EC100(A), CY110(O), EC110(A), MA102(O), BE102(A+), CS100(O),
MDL16CS094   CY100(B), BE100(B), EC100(B+), CY110(O), EC110(A), MA102(O), BE102(A), CS100(B),
MDL16CS095   CY100(O), BE100(B), EC100(C), CY110(O), EC110(A), MA102(O), BE102(B+), CS100(O),
MDL16CS096   CY100(B+), BE100(B), EC100(B+), CY110(O), EC110(O), MA102(O), BE102(A), CS100(O),
MDL16CS097   CY100(A+), BE100(B), EC100(B+), CY110(O), EC110(O), MA102(O), BE102(A+), CS100(B+),
MDL16CS098   CY100(F), BE100(F), EC100(F), CY110(A+), EC110(B+), MA102(C), BE102(B+), CS100(F),
MDL16CS099   CY100(A+), BE100(B), EC100(B+), CY110(O), EC110(A+), MA102(A), BE102(A), CS100(A+),
MDL16CS100   CY100(A+), BE100(B+), EC100(B), CY110(O), EC110(O), MA102(A+), BE102(A+), CS100(O),
MDL16CS101   CY100(B), BE100(B), EC100(B+), CY110(O), EC110(A), MA102(O), BE102(B+), CS100(A+),
MDL16CS102   CY100(B+), BE100(C), EC100(B), CY110(O), EC110(O), MA102(B), BE102(A+), CS100(O),
MDL16CS103   CY100(A), BE100(B), EC100(B+), CY110(O), EC110(A), MA102(A+), BE102(B+), CS100(O),
